TWEETS	SENTIMENTS
@AmericanAir flight 1484. Been delayed at least 5 times now. Trying to get to Philly	negative
@AmericanAir Just had THE WORST FLYING EXPERIENCE OF MY LIFE with AA	negative
@AmericanAir thank u. We tried to file in Haiti but no luck. We are back in FLL now &amp; headed to DFW. Should we do so in DFW?	negative
RT @GloriaEstefan: @omarcruz @EmilioEstefanJr @AmericanAir You did a MAGNIFICENT JOB, Omar! Thank you!	positive
Headed 2 CHI 4 @gillgalli bday &amp; party w/ @WhitLoeb @mychhu AND @RealFlyntFloss. We are flying @AmericanAir so we will make it by Tuesday.	neutral
Had to pay 8 bucks. But watching the cats from 20k feet in route to Nashville @AmericanAir @espn #BBN http://t.co/4ftdkXTJbP	positive
Thanks to you Gloria! :) RT @GloriaEstefan: @omarcruz @EmilioEstefanJr @AmericanAir You did a MAGNIFICENT JOB, Omar! Thank you!	positive
@AmericanAir and @USAirways "merger" is a mess.  Can't even transfer passengers between flights, failed code sharing, disaster.	negative
@AmericanAir Someone please tell me what is a "weight load" issue and why AA 1767 is camped on the runway at RSW with no engines on.	negative
@AmericanAir the president @BarackObama has just landed at #Phoenix airport on @AirForce1 ... Just watched his plane taxi from my seat ✈️	neutral
@AmericanAir Confirmation in email when I landed. Will say you handled this cranky, spoiled flyer well. Kudos.	positive
Heyyyyy @AmericanAir it's me again... You're delayed again... Nothing new here (337 nyc to chi)	negative
@AmericanAir will do, thank you for your prompt response. Looking forward to finally getting to Austin!	positive
@AmericanAir this happend to 5 of us and the hold time on the phone and at the airport is an indication we were nit alone	negative
@AmericanAir no your staff at LAX, Phoenix, and San Fran are so incompetent!!!! They tell a passenger incorrect info and they miss a fight	negative
@AmericanAir it's 7 days now, why is it taking so long to reply? Too few specialists? Or too many complaints?	negative
@AmericanAir now delayed for the sixth time. Will we ever get on this airplane?	negative
@AmericanAir 1003 trying to get to Wichita	neutral
A real human from @AmericanAir corporate called me back. Took some digging on email addy's to send to. "Sorry" from a person goes a long way	positive
.@vballagh #shitstorm @AmericanAir get this lady to #austin	negative
@AmericanAir Friendly service onboard 3239 LCH to DFW today.	positive
@AmericanAir thanks so much for your quick response!	positive
RT @gz_: Shameful! @AmericanAir -- American Airlines Refused To Refund Ticket After Fourth-Grader’s Death http://t.co/DB4j6KAqcT	negative
@AmericanAir Valerie in lubbock, tx was surprisingly rude at check in.  # unsatisfied	negative
I actually look forward to outbound flight delays around lunchtime, @AmericanAir. Seriously. @RealFoodDaily @flyLAXairport	negative
America West, @USAirways, @AmericanAir who can keep track? It's good to see "Cactus" livery remembered. http://t.co/7Ye3bTYrmR	positive
@united 4 hour layover in Houston now my flight to Tulsa is delayed #ridiculous	negative
.@united: you have an amazing flight attendant in Belinda. With a sick baby on flight from ORD-EWR, she sprung into action MacGuyver style!	positive
@united has had the rudest interactions with the last three employees, all I need is support in this situation and not feeling dumb 4 asking	negative
I am @united 84 to TLV --second time in two weeks. See you on the other side.	positive
RT @huntmayo: Looking good! @united #b737 @fly2ohare #boeinglovers #planespotting #airplane #airport #avgeek… https://t.co/PhsIrjSUgz	positive
@united you know what？we really doubt that today s flight is unsafe！！！	positive
Appetizer with a very nice Shiraz aboard Boeing 787-9 Dreamliner @united http://t.co/NLoo5oTgGK	positive
@ariashe @RhodaWheeler @em4est @WTOP not much to say. Staff was patient courteous helpful @united. Oddly two kiosks/stations were open	positive
@ericjackson0 @Dulles_Airport @united power just came back on about 15 min ago	neutral
@united File reference ord27139m, tag numbers, 3016970995, 3016970985We had received some texts however once in the Bahamas no phone servi	negative
@united When we can all see SEVERAL OPEN GATES ASSHOLES!	negative
Customer Care (?) email fm @united epic catch 22. Call agent-says email. Wait 7 days.  Email response says-too late, you had to CALL. LOL	negative
@united And when we take the alternative flight the next day..once we land we are sitting on the tarmac waiting for a freaking gate?!	negative
@united Then..after all that you cancelled the flight. So he are all us passengers delayed by 24 hrs, can't  go to our orignal destination	negative
Thanks @united for shortening my vacation 2 days &amp; having horrible customer service. EVERYONE should avoid them at all costs...	negative
I've never had a @united flight attendant as rude, ignorant, &amp; disrespectful as this one just was.	negative
.@united Who can I contact about in board wifi pricing? Paid $1.99 per hour for 2 hours Ewr to Miami but $8.99 for return leg w no streaming	negative
@united has to be the worst airline in the world. 6 hours of delays because of mechanical issues on TWO DIFFERENT AIRCRAFT! !	negative
@AirwaysNews @RWMann @united @Lufthansa_DE Mass executive firings?	negative
RT @Honeywell_Aero: Did you know: AltAir is using @HoneywellNow UOP’s process technology for @United’s biofuels?  http://t.co/tRJYRWcphV --…	neutral
Glad I booked a all inclusive spring break this year in punta Cana but get to spend it at the airport instead THANKS @united	positive
shame on @USAirways &amp; @United for leaving a #disablied stranded and not escalating his complaint http://t.co/PROtVh9IcE via @chronicleherald	negative
@united So if you are telling me today that I had to call, please publish/DM a phone number for "Customer Care"  No care in this situation.	negative
@SPARKLYSOULINC @nyrr @united the ADDY of the building was what i needed.	neutral
RT @thenitai: Hey @Dulles_Airport @united any update on the #poweroutage #Washington? Twitter is the perfect medium for that :-) Just saying	negative
@united i really doubt about the time you said. it is already 3:00pm.	negative
@united We have no idea what's going on. People are gathering in groups and speculating when we'll take off #struggleplane	negative
@CameronConaway @united I've been following and this is ridiculous!! It's 8 days too long!!!	negative
@DigiTour @HayesGrier @United😍26Tour	neutral
@united People have been walking back and forth deciding whether to switch flights or not. It's absolute anarchy.	negative
@united REALLY, THIS? "we do not change or modify reservations via an email request.  You would of had to have called" Agent say MUST email!	negative
dear @united couldn't you just call it "TV shows" instead of "short programs"?	negative
@united I am flying UA5495 out of LaGuardia &amp; just wanted 2 let u know all of ur staff has been amazing! 1st 4 me flying UA, but ill be back	positive
@united Apologies are great. Unfortunately if we screw up on your airline you make us pay out the a$$ for our mistakes. I want something.	negative
Want to know how flying #United could be? Fly #Swiss and you will see the other side, the bright side of #StarAlliance! @United	positive
@united They couldn't fix the entertainment system. The power to the seats got cut off. That's when people started leaving #struggleplane	negative
Thanks @united for reminding me why I should only keep booking southwest. #unitedfail.	negative
@united Response- "we do not change or modify reservations via an email request. You would of had to have called"  LOL Agent says must EMAIL	negative
On hold for an hour waiting to speak with @British_Airways customer service, would never happen with @united.	negative
@airfarewatchdog @united you guys are great. Useful accurate info. Helpful	positive
@united Response fm @united "You would of had to have called at the time.."  Reservation agent+twitter say MUST EMAIL. #flythefriendlyskies	negative
BAG UPDATE! It's on a later flight and hopefully will get it tonight. #mylittlebaggy @united's been on the updates. 👏👏	negative
2 hour delay thanks @united #ua89, this is ridiculous	negative
30 minutes after landing this is NOT the sight I want to see! Cmon @united pick up the pace! #iwantmysnowboard #slc http://t.co/fz4EfifcBB	negative
@united @Jeffrey88184123 WHERE'S MY LUGGAGE? WHERE'S MY REFUND FOR BAGGAGE YOU DIDNT CARRY, AND MY SEAT UPGRADE I DIDNT GET ON USAIRWAYS?	negative
I'm on a @united flight to Beijing and the flight has been delayed for so long that I've had time to make a twitter. #struggleplane	negative
Join an awesome panel w/ @RebelMouse @united @honestdollar &amp; @doxtv tomorrow at @WeWork Congress. http://t.co/2QowTrIIQr #SXSW #SXSW2015	positive
@united Lost my family 1-1/2 days of our Bahamas vacation first in 10 years. Lost our luggage,still gone, no apologies. Finally flew USAir	negative
Thanks to Erica and Maria in Toronto @united for saving the day. Family will be in Mexico tomorrow.	positive
.@united any help if we have to stay overnight. #poweroutage #Washington	neutral
Looking good! @united #b737 @fly2ohare #boeinglovers #planespotting #airplane #airport #avgeek… https://t.co/PhsIrjSUgz	positive
Continued... And not going the extra mile for customer service to help. @united should be ashamed how it was all handled and not caring	negative
Thanks @united for losin my bags, taking off late so I miss my connecting flight and leave me stranded in Chicago overnight with nothing!	negative
@united supposed to be home almost 2hr ago. Pilot overshot our landing and now we're in a diff city. Up since 2am. Not too happy now!	negative
@united ugh why was i directed on here to contact via the cs form via web. Ridiculous. Thank you.	negative
@airfarewatchdog You guys are a whole lot more helpful to follow than @united . Still grateful for the $460 R/T TOR to China you found me!	positive
Wow @united curbside check in at McCarran fantastic! Fast, friendly and handsome! #unitedairlines	positive
@kristen Shocking behaviour on the part of @united This is discrimination!	negative
Lost bags. Deleted first class tickets. Late flights. Deleted trip 1/2 way through. Opened a twitter account just to say this @united	negative
@united I got bumped from one flight to another, paid for premier access and now I've lost it on my new flight	negative
I support @kristen !!! "My wildly offensive experience with @united while #breastfeeding my baby aboard a flight http://t.co/zoA0WvrYMZ"	negative
RT @kristen: I'd like to share my wildly offensive experience with @united while #breastfeeding my baby aboard a flight http://t.co/dKlSSfv…	negative
@SnaxStL @united http://t.co/xTD8gw8H49	negative
@csoandy @united :-) It's worse, they are checking through bags without the people. The whole thing is a security glitch as well.	negative
@kristen hold strong and do not allow @united to #whitewash this incident, make them #accountable.	negative
Would @USAirways @Delta @united PLEASE stop pretending a 30 minute connection on paper is realistic? Thx 2 mechanical problems, never works	negative
✈️ my flight is two hours delayed and I found out from google. Shouldn't there be a rep here? @united 😐	negative
RT @robquadrini75: @Alyssa_Milano -"wildly offensive experience with @united while #breastfeeding my baby aboard a flight http://t.co/1395M…	negative
@GlobalBC @united This is 2015. Any business that touts  customer service and pulls this crap needs a new business model.	negative
@SPLM-Juba politician slams @United state for alleged campaign to remove government in @South Sudan.	negative
@kristen @nurse_w_glasses @united Horrible.  A blow to women and a blow to the natural way of life.  What disgusting behavior.	negative
@united Trying again. Taking 1233 (BOS-SFO) tomorrow (3/12). Can you tell me if the scheduled aircraft has seat back video screens and WiFi?	neutral
Breastfeeding Mom Harassed on United Flight https://t.co/AgfFuZTz9f via @yahooparenting Proving again that @united is staffed by MORONS.	negative
Should be at my destination, but nope still 18+ hours away...thanks, @united	negative
@united No, I won't. Go into the finance offices, and escort your MBAs to the parking lot. #mileageplus has become a 1%ers program. Goodbye.	negative
RT @GlobalBC: B.C. mom says she was shamed for breastfeeding on United Airlines flight - http://t.co/C4ensoCaCL  @United http://t.co/5cvfMN…	negative
@kristen @united Just adding my small voice to the long list of people sending you support &amp; love. An appalling story.	positive
Breastfeeding mom from #Burnaby outraged by @United Airlines http://t.co/jqYaSvbCv7 http://t.co/8ylfnDEskE	negative
@kristen @united perhaps "Keith" should be looking for a new job.	negative
RT @UWLM: Listen to @United Way funded @_Nidus_on @bcalmanac today talking about how to protect end of life wishes	neutral
@united That's your response? You should apologize immediately @united. I'm so sorry that happened to you @kristen.	negative
RT @SFBJNews: More layoffs: @united to eliminate hundreds of jobs in Broward, Palm Beach counties http://t.co/v5pcRiBlIj http://t.co/bPuWjR…	negative
@zeynep apparently @united wants you to stay in the UK for two weeks.  Are they paying?	neutral
Listen to @United Way funded @_Nidus_on @bcalmanac today talking about how to protect end of life wishes	neutral
@CVGairport CVGFuture Forum: Much discussion about Delta, Frontier, Allegiant, DHL, yet not one mention of @United, @AmericanAir, @USAirways	neutral
B.C. mom says she was shamed for breastfeeding on United Airlines flight - http://t.co/C4ensoCaCL  @United http://t.co/5cvfMNQJhz	negative
B.C. mom says she was shamed for breastfeeding on United Airlines flight - http://t.co/FRY2aQHDel  @United http://t.co/PwVM24yeNd	negative
@united shouldn't be shaming #breastfeeding mothers on their flights. @Kristen, you should never feel ashamed for feeding you son.	negative
@united hi there. Yup. Just DM'd	neutral
SHAME on @united #breastfeeding is natural soothing and comforting @kristen http://t.co/kmyxpuewpy	negative
@united missing aircraft at gate 27 in ORD to LGA.  Where is Waldo?  United let me down today.	negative
@united Mary, the emails are automated and not helpful.  So there is no human we can talk to?  I find that unacceptable.  Please help us.	negative
@united any plans to improve? RT @NateSilver538: Airlines, ranked: 1. Virgin; 2. US Airways, … 10. United. http://t.co/Yag7cjNtCQ #LastPlace	negative
@jamespilcher #CVGFuture Much discussion about Delta, Frontier, Allegiant, DHL, yet not one mention of @United, @AmericanAir, @USAirways	neutral
@robquadrini75 @Alyssa_Milano @united @kristen dear Keith, you're a dick.	negative
@united I can't remember the last time my flight was on time #delays	negative
RT @Chicago_History: Ad for United Airlines’ Chicago Executive “for men only” flight from NY to Chicago, 1953. @UnitedCenter @united http:/…	neutral
@egrattan @kristen @Delta @AmericanAir @SouthwestAir @united Yep.	neutral
@robquadrini75 @Alyssa_Milano @united @kristen that is ridiculous! I'm so sorry for this mama! United better do something! Sharing the story	negative
@robquadrini75 @Alyssa_Milano @united @kristen Breastfeeding a child is the most natural thing there is. The attendant has been incompetent.	negative
@Expedia #ExpediaChat Wish I could stay longer but I was only on a short layover in houston. Thanks to the @united Club for being worthwhile	positive
@united have done that already. thanks for not really helping.	negative
@united you've won me over today! Got me changed to a later flight to get a couple more days at home.	positive
@kristen Crazy. Not okay, @united. Keith needs a reprimand and sensitivity training. Lesson: Never fly United?	negative
@robquadrini75 @Alyssa_Milano @united @kristen this is just disgusting. @united has to take serious action.	negative
@united Add me and I will send the confirmation number.  Thanks.	neutral
@united @vagabondindigo Will NEVER again fly on United. Wheelchair finally delivered day after arrival at home.	negative
Hey @AirCanada why is there no access for Elite Silver at @united lounge in Houston airport? Suggestions?	neutral
@SouthwestAir thank you for the extremely clever way of wishing a member Happy Birthday!!  #SouthwestAir #creative #clever #advertising	positive
RT @AliceInsider: Waiting to board 😊 lifehouse @southwestair @liveinvineyard #Liveat35 #LITV https://t.co/gqWwmbIWsf	positive
Waiting to board 😊 lifehouse @southwestair @liveinvineyard #Liveat35 #LITV https://t.co/gqWwmbIWsf	positive
@SouthwestAir I flew multiple times in last 24mo. Atleast 3 times reward travel. Southwest lost human element in Customer service to see it.	neutral
@lifehouse @alice1059 @SouthwestAir @liveinvineyard  Awesome!! Wish I was on that flight.	positive
RT @sammyhill: Taking off soon! Selfie with @lifehouse ! @southwestair @liveinvineyard #litv #liveat35 http://t.co/9wRpzE1PmF	neutral
RT @OldestLHGroupie: @lifehouse @alice1059 @SouthwestAir I flew Southwest from LA in December. You would be the best on-board entertainment…	positive
@SouthwestAir  give Bob Woudstra back his money. Its your fault your systems failed to register his boarding . I wonder about your security	negative
Taking off soon! Selfie with @lifehouse ! @southwestair @liveinvineyard #litv #liveat35 http://t.co/9wRpzE1PmF	neutral
RT @sammyhill: I think the other passengers know something's up. @lifehouse @southwestair @liveinvineyard #liveat35 #litv http://t.co/yx3Ag…	neutral
@SouthwestAir, getting an error at the end of merging my accounts is a great way for me not to do it.	negative
I think the other passengers know something's up. @lifehouse @southwestair @liveinvineyard #liveat35 #litv http://t.co/yx3Ag7eHrW	neutral
We've been cleared for take-off. Please keep your seat belts fastened, the pilot's going to try something new! @SouthwestAir ✈️ 🌴☀️	neutral
@SouthwestAir the #luv is back. With Chris and friend saving the day at your SFO terminal. It was kind of like a hug. Thank you.	positive
Taking off soon! Selfie with @lifehouse ! @southwestair @liveinvineyard #litv #liveat35	neutral
Sun?  Sand? @SouthwestAir 1 stop svc 2 international destinations from MHT! If u like Aruba, The Bahamas &amp; Montego Bay, book yr flights now!	positive
.@AlaskaAir to challenge @SouthwestAir w/ #NewRoutes to Cabo &amp; Puerto Vallarta from #SNA Orange County http://t.co/w3YdzHjdxJ #avgeek;	neutral
Thanks @SouthwestAir for having @FOXSports1 available on board so I can watch the #ChampionsLeague and @ChelseaFC play!	positive
I'm happy to report Honey Roasted Peanuts have returned to @SouthwestAir. :)	positive
Vegas, it's been fun.  But @southwestair take me home!  #toLAwego https://t.co/YsEisChsOI	neutral
#sanfrancisco: are you going to @southwestair's #Chinese #NewYear #Parade? What about these other activites: http://t.co/usPGiYEuB8	neutral
Not a bad view flying into Salt Lake for a quick trip before Chicago @southwestair #travel #mountains… https://t.co/NonaTfM2mG	positive
Jet on a pole @southwestair #Vegas https://t.co/D9xDvELFGi	positive
checked in on @SouthwestAir to hop over to #chitown for some serious girl time with @mirandamrob. #preparedfortakeoff #pullchocks	positive
RT @tempechamber: Deals from @BeautybyAndrea @ShopAZMills @StateFarm @CarineDieude @SouthwestAir and more on #hotels #tours http://t.co/sj2…	neutral
RT @flyONTairport: Always love seeing @SouthwestAir special paint schemes at ONT. Here is "Maryland One" departing @flyontairport today! ht…	positive
Verrry nice! RT @LopezNegrete " @SouthwestAir has new #branding, including its own typeface. http://t.co/cHm7QrWaZb  #creativity"	positive
@SouthwestAir why don't you have a "multiple destinations" option?	negative
It's great! RT @LopezNegrete: .@SouthwestAir has new #branding, including its own typeface. http://t.co/Duotkwr3VO http://t.co/xjWJjGlfNJ	positive
@AliceInsider @SouthwestAir @liveinvineyard @lifehouse Love these! I remember when @GavinDeGraw @billy_norris @THISIANONEILL did it!	positive
RT @AliceInsider: The people on our flight have no idea! @southwestair #Liveat35 lifehouse @liveinvineyard #LITV @ Los… https://t.co/zCXIvc…	negative
.@SouthwestAir has new #branding, including its own typeface. http://t.co/Gn66HpjTVd #creativity http://t.co/ac6TpMSbin	positive
Always love seeing @SouthwestAir special paint schemes at ONT. Here is "Maryland One" departing @flyontairport today! http://t.co/dbFS3St2gb	positive
Flight Attendant Selfie #1 @southwestair #flight #RDU #BWI @ Baltimore/Washington International… https://t.co/txQEBmB6wN	neutral
@SouthwestAir Thanks for speedy reply.	positive
I like- Nurturing the unique culture of SWA. DBJKezar: How @SouthwestAir VP makes flying fun. http://t.co/pHnLQMRUQm http://t.co/zrJHKSVtsU”	positive
Just announced that only 78 seats are sold on my flight.... Plane seats 140!! Jackpot! Might get a row! @flystl @SouthwestAir	positive
The things we hafta do to save $1200 ➡ Drive 5 hours to catch a 1 hour flight. #WTXProblems #Dumb @SouthwestAir needs to fix the rate to MAF	negative
Live in the Vineyard! Bid now on @ebay for a trip to Napa Valley, live music + more! Thnx @SouthwestAir. http://t.co/ru8lbjMNPj	positive
@SouthwestAir I was online at the same time I asked the agent.	neutral
Thanks @SouthwestAir for another amazing trip! #BestFlightTeams #BestService Thanks team of Flight 1435	positive
RT @SouthwestAir: Dear Costa Rica,We made it.Love,Southwest http://t.co/JMm66IWKir	positive
RT @AliceInsider: @lifehouse @SouthwestAir @liveinvineyard @alice1059 #Liveat35 #LITV @sammyhill http://t.co/M4Rexyk01L	neutral
RT @AliceInsider: This is so awesome! @lifehouse @SouthwestAir #Liveat35 #LINV @liveinvineyard @alice1059 http://t.co/SvaG3G2m9q	positive
Great news! @Southwestair now offers daily flights from Baltimore-Washington International to Costa Rica! #Premio #DMC #TravelMotivates	positive
@SouthwestAir Can I fly with my pet turtle, Terry, when we relocate?  He is 4 inches and I have a plastic cage for transport.  Thank you.	neutral
Thanks for responding so quickly @SouthwestAir awaiting to board soon. #hopefully #Orlando #LA #director #film #patienceisavirtue #travel	positive
@SouthwestAir @ryeandwater Have you tried @thiswifisucks? Download on the App Store now http://t.co/AcaSwktsB7	neutral
@lifehouse @alice1059 @SouthwestAir I flew Southwest from LA in December. You would be the best on-board entertainment EVER!!! Safe travels!	positive
Here we go! #travel #SpringBreak @SouthwestAir http://t.co/PoTB7WtWQm	neutral
Dear @southwestair Your in flight wifi sucks.  I can't even check email. #refund	neutral
@AliceInsider @alice1059 @SouthwestAir @liveinvineyard lucky ass people &amp; they don't even know it!	neutral
Thanks for canceling my flight today @SouthwestAir instead of lunch in the french qt I get this egg salad! #terrific http://t.co/aRFjGzHfpR	negative
@SouthwestAir followed	neutral
Wait!? Does @SouthwestAir really offer flights to Costa Rica now!?	positive
The people on our flight have no idea! @southwestair #Liveat35 lifehouse @liveinvineyard #LITV @ Los… https://t.co/zCXIvc1WZw	neutral
RT @AliceInsider: @lifehouse @SouthwestAir #Liveat35 @liveinvineyard #LINV http://t.co/7wnf3BTNjH	neutral
@lifehouse @SouthwestAir @liveinvineyard @alice1059 #Liveat35 #LITV @sammyhill http://t.co/M4Rexyk01L	neutral
Hey @SouthwestAir Why when I called to change a flight, did the agent tell me everything tonight was sold out? http://t.co/MCJLbmsjb4	neutral
Brand-Experience Bottom Line: Roundtable w/execs from @ProphetBrand  @SouthwestAir @Progressive @MazdaUSA @BWWings http://t.co/8MGd4qctNU	neutral
RT @AliceInsider: lifehouse @southwestair @liveinvineyard sammyhill #Liveat35 #LITV @ Los Angeles International Airport… https://t.co/CFt9N…	neutral
RT @AliceInsider: A little bit of Sam Hill's interview with #lifehouse. @liveinvineyard lifehouse @southwestAir… https://t.co/ekv3dM30Pu	positive
@SouthwestAir well I would definitely rather be #safe  I will send confirmation number now.	negative
lifehouse @southwestair @liveinvineyard sammyhill #Liveat35 #LITV @ Los Angeles International Airport… https://t.co/CFt9NVarsM	neutral
@AliceInsider @alice1059 @lifehouse @SouthwestAir @liveinvineyard come on Denvers waiting!	positive
@AliceInsider @lifehouse @SouthwestAir @liveinvineyard freakin LOVE them!!!	positive
I misplaced 8 @SouthwestAir drink tickets, and I'm not gonna lie, it's the worst thing that's happened all year. #thestruggleisreal	negative
RT @ravenkrogstad: What happened @SouthwestAir for #flight 512? I have been at the airport since 9 am. #travel #Orlando #LA #patientlywaiti…	negative
What happened @SouthwestAir for #flight 512? I have been at the airport since 9 am. #travel #Orlando #LA #patientlywaiting #delay #director	negative
Geesh, this Delta airline stewardess can take a few lessons from @SouthwestAir ! She sounds like she not only hates her job but needs a nap!	positive
No wifi on @SouthwestAir flight today from SEA&gt;SAN that sucks esp for us biz travelers! #PRgirl	negative
Thank you @SouthwestAir for announcing her 9th bday and making it special. #DAL2STL http://t.co/AH6SOz30qN	positive
@SouthwestAir if there's anything you can do. $100s lost from missing work and getting a hotel room. Honestly so frustrated flying with you.	negative
Paid $8 for less than stellar wifi on my @SouthwestAir flight. 😑	negative
@SouthwestAir Hi, I recently added my KTN. Is it associated with with Confirmation Num. 8XRAS?	neutral
2014 On-Time Baggage Performace. Delta #2. @SouthwestAir comes in dead last. Now we know why they check your bags for free....	negative
S/o to the wonderful chicago midway @SouthwestAir ladies for getting me on this flight. #theyneedaraise #realmvps	positive
@SouthwestAir I know just ruins our entire day of shooting since we don't have our equipment. Not fun to cancel on clients last minute	negative
@lifehouse @SouthwestAir #Liveat35 @liveinvineyard #LINV http://t.co/7wnf3BTNjH	neutral
@SouthwestAir 8QMZEB	neutral
.@SouthwestAir - Great customer service experience. Their team turned around a grumpy traveler with a quick and thoughtful response.	positive
You know what airport seats need footrests for those of us without luggage to rest our feet on #bamzgoesonvacay #SMF @SouthwestAir	neutral
A little bit of Sam Hill's interview with #lifehouse. @liveinvineyard lifehouse @southwestAir… https://t.co/ekv3dM30Pu	positive
Thanks @SouthwestAir crew for the joke of the day! "What kind of bagel can fly?" "A plain bagel!"	positive
@SouthwestAir yes. ur customer service reps are attitudey. also bc the delayed flight, we were unable to pick up our rental car bc it closed	negative
@SouthwestAir we then had to rent ANOTHER car for a day! we were unable to go snowboarding the next day bc our stuff didnt come till 1230pm!	negative
RT @traveljames: See my interview with @VirginAtlantic CEO Craig Kreeger on Virgin’s newest 787 and more @TravelPulse http://t.co/oNjtEcSDFm	positive
@VirginAtlantic spoken loads to Virgin with no result, pointless. I won't travel virgin ever again and we generally go at least twice a year	negative
#inspiring #creative @VirginAtlantic commercial - https://t.co/hBinvcHmn0	positive
RT @seeMolokai: Discover Molokai: The Kalaupapa Peninsula in this @VirginAtlantic blog by Brian Berusch http://t.co/KIVKeR18Dw #Kalaupapa #…	positive
Discover Molokai: The Kalaupapa Peninsula in this @VirginAtlantic blog by Brian Berusch http://t.co/KIVKeR18Dw #Kalaupapa #Molokai	positive
RT @OWSdigital: ▃ ▅ Jus wana say a massive ThankU to the @VirginAtlantic crew for always looking after me and a continued great service ▅ ▃	positive
Dear @VirginTrains i have just stood on a train from Coventry to Euston! @VirginAtlantic feel free to reimburse cc @richardbranson #noseats	negative
@VirginAtlantic I have flown LDN to JHB 27 times in just over 2 years, Eric in your JHB is your best employee..knight him or promote him now	positive
RT @VirginAtlantic: Get inspired! Pack your perfect bag to discover your perfect trip here: http://t.co/BB2WUtsl2i #Letitfly http://t.co/F…	positive
.@VirginAtlantic I have no intention of becoming either a golfer or a swinger.	negative
.@VirginAtlantic has just sent me an invitation to something called the Swingers Golf League. Talk about misreading your audience.	negative
Unable to check in online or find out my seat until I get to the airport makes flying solo with an infant more stressful! @VirginAtlantic	negative
@VirginAtlantic   Ready for Pan Am Games Toronto 2015.Get your Emergency Travel Insurance Online Mobile.Visit http://t.co/70hiksi68H	positive
Hi @Dame_Lillard @VirginAtlantic @RebekahRadice @bizcommunicator - have a great Wednesday. (insight by http://t.co/JciR9MpmZG)	positive
1st time flying @VirginAtlantic, all I can say is wow. Best coach class flight I've ever had. Awesome staff &amp; all the good stuff was comped	positive
@DeltaAssist @VirginAtlantic 9327562915892 E-Ticket thats is all i have	neutral
@megoizzy @VisitABQ @VirginAtlantic Btw, would love to put a south-of-the-river crawl with you in the diary for sometime in the near future!	positive
RT @MissDandyT: Terrible customer service @British_Airways no wonder have moved all travel to @VirginAtlantic	negative
@megoizzy @VisitABQ @VirginAtlantic Ah, the old chile vs. chili conundrum! Thanks for your eagle eyes :)	positive
Terrible customer service @British_Airways no wonder have moved all travel to @VirginAtlantic	negative
@ClaireMBullen @VisitABQ @VirginAtlantic It does! Only bugbear: frito pie is with chili (con carne) not chile! #nom #needsome	negative
@VirginAtlantic @DeltaAssist and worst of all.. she was sent to wrong terminal only to get yelled at. how very amazing !	negative
@VirginAtlantic @DeltaAssist how could airline lost a damn stroller in the aircraft ?	negative
@VirginAtlantic @DeltaAssist outrageous!	negative
@VirginAtlantic @DeltaAssist no suprt offered.some1 told her to walk a little &amp; might find a buggy	negative
@VirginAtlantic @DeltaAssist how possibly could a mother with 8 mos baby with car seat, hand carry, backpack cud catch a connection?	negative
@VirginAtlantic @DeltaAssist then at london she dint find stroller..she missd connction to manchester...left her just outside of aircraft..	negative
@VirginAtlantic @DeltaAssist my wife traveling to manchester with 8 mos old baby..prvd wrong flight info.whn askd about basenet gave attitde	negative
@megoizzy @VisitABQ @VirginAtlantic Thanks! It meets your approval, I hope? :)	positive
Pack your bag for a chance to win flights to your @VirginAtlantic dream destination (T&amp;Cs apply) #letitfly http://t.co/Y27IldssGV	positive
Nice work @ClaireMBullen! RT @VisitABQ Mouthwatering blog on #ABQ cuisine by @VirginAtlantic. http://t.co/qmNgv4xN40 http://t.co/sOR9FDKCJV	positive
@novvik @VirginAtlantic ye, im good with any day	positive
@DeltaAssist @VirginAtlantic Congrats! you guys reached the worst high. Shocking customer service. NExt time i will take my business elswher	negative
RT @VisitABQ: Mouthwatering blog on #ABQ cuisine by @NewMexico and @VirginAtlantic. We love #NMTrue food! http://t.co/se6Jgw9rEs http://t.c…	positive
@VirginAtlantic Thank you for providing WORST Service to my family at Heathrow. Will never ever fly with you again.	negative
RT @DLanceBlack: But I don't wanna leave! Adios #London. Hello #LA. Thank U @VirginAtlantic http://t.co/lWhPo8sMrZ	positive
@DeltaAssist @VirginAtlantic Thanks Delta &amp; Virgin Atl 4 providing WORST service to my family at London Heathrow ! It couldnt be worst!	negative
RT @BusinessTravel_: .@VirginAtlantic are adding a second daily flight between @manairport &amp; #Orlando in July &amp; August #Travel	positive
@VirginAtlantic are also adding an extra weekly flight between @manairport and #LasVegas between July &amp; October #Travel	positive
.@VirginAtlantic are adding a second daily flight between @manairport &amp; #Orlando in July &amp; August #Travel	positive
Mouthwatering blog on #ABQ cuisine by @NewMexico and @VirginAtlantic. We love #NMTrue food! http://t.co/se6Jgw9rEs http://t.co/iypzE2iO6k	positive
Pack your bag for a chance to win flights to your @VirginAtlantic dream destination (T&amp;Cs apply) #letitfly http://t.co/9e9a6efO9Q	positive
#Letitfly, l'appli de votre future destination vacances http://t.co/hABq8hMLZF @VirginAtlantic #brand #idea #holidays http://t.co/U1mea9xVKk	positive
@British_Airways the once you have it you don't care about the customer. I'll never book with you again and will be using @VirginAtlantic	negative
.@VirginAtlantic Cargo reports revenue growth for 2014 http://t.co/KfaaMGwAjG #aircargo	neutral
@VirginAtlantic I can't DM back due to you not following me!	negative
